"country","sum_measles","sum_rubella","sum_m_r","sum_discard","sum_total_discard","sum_lab_m","sum_epi_m","sum_clinic_m","sum_lab_r","sum_epi_r","sum_clinic_r","sum_pop_m","sum_pop_r","sum_pop_mr"
"Indonesia",83286,9010,92296,84429,176725,22029,6569,54688,6824,2186,0,320.13,34.64,354.77
"Iran (Islamic Republic of)",3246,337,3583,66872,70455,3053,58,135,328,4,5,43.29,3.98,47.27
"Iraq",50093,173,50266,8024,58290,8223,6465,35405,156,3,14,1127.45,4.47,1131.92
"Ireland",700,2,702,72,774,488,104,108,1,0,1,151.81,0.4,152.21
"Israel",4604,10,4614,0,4614,2195,1870,539,8,0,2,548.96,1.15,550.11
"Italy",17554,49,17603,2089,19692,12779,2433,2342,19,1,29,297.24,0.84,298.08
"Jamaica",0,0,0,1183,1183,0,0,0,0,0,0,0,0,0
"Japan",2517,5576,8093,9025,17118,2315,20,182,5385,10,181,20.96,44.06,65.02
"Jordan",361,20,381,3084,3465,358,2,1,18,0,2,37.08,1.94,39.02
"Kazakhstan",64887,244,65131,0,65131,55516,6703,2668,78,9,157,3338.93,13.66,3352.59
"Kenya",8045,2019,10064,10230,20294,3106,4294,645,2019,0,0,168.59,43.71,212.3
"Kiribati",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kuwait",200,32,232,1254,1486,197,2,1,31,1,0,52.03,9.32,61.35
"Kyrgyzstan",50083,179,50262,4468,54730,7272,14028,28783,76,0,103,8677.72,29.93,8707.65
"Lao People's Democratic Republic",1820,248,2068,7065,9133,457,1299,64,114,134,0,273.36,36.21,309.57
"Latvia",68,5,73,0,73,67,0,1,4,0,1,34.55,2.64,37.19
"Lebanon",4736,134,4870,1739,6609,2526,155,2055,58,0,76,812.41,22.95,835.36
"Lesotho",201,695,896,3211,4107,27,16,158,695,0,0,96.48,334.5,430.98
"Liberia",17531,190,17721,1760,19481,1288,13304,2939,190,0,0,3320.41,38.3,3358.71
"Libya",2493,281,2774,4952,7726,1667,813,13,281,0,0,376.55,40.07,416.62
"Lithuania",1023,3,1026,0,1026,1023,0,0,3,0,0,364.88,1.05,365.93
"Luxembourg",39,0,39,48,87,39,0,0,0,0,0,65.55,0,65.55
"Madagascar",225947,2108,228055,10465,238520,1745,223699,503,2108,0,0,8019.61,75.52,8095.13
"Malawi",1306,696,2002,3255,5257,460,611,235,696,0,0,109.59,43.26,152.85
"Malaysia",16779,1223,18002,81651,99653,15433,709,637,1164,59,0,517.38,38.38,555.76
"Maldives",28,5,33,814,847,22,0,6,5,0,0,55.24,11.18,66.42
"Mali",6610,580,7190,4299,11489,4250,364,1996,580,0,0,319.95,29.36,349.31
